id,far_part,flt_plan_filed,acft_make,acft_model,total_seats,num_eng,fixed_retractable,cert_max_gr_wt,acft_category,homebuilt,type_last_insp,afm_hrs_last_insp,afm_hrs,elt_install,elt_type,oper_dba,certs_held,type_fly,second_pilot,dprt_apt_id,dprt_time,dest_apt_id,site_seeing,air_medical,flight_hours_mean,crew_category,crew_sex,pc_profession,crew_tox_perf,mr_faa_med_certf,available_restraint,eng_no,eng_type,eng_mfgr,eng_model,power_units,hp_or_lbs,carb_fuel_injection,propeller_type,subcategory_no
20140521X353351,091,NONE,BELL HELICOPTER TEXTRON CANADA,206 L4,5.0,1.0,FIXD,4550.0,HELI,N,100H,41.0,3162.0,N,,,Y,AOBV,N,BVY ,1411.0,,N,N,14431.0,PLT,,Yes,N,,3,1,TS,ALLISON,250-C30P,650.0,HP,,,5
20140522X843591,091,NONE,PIPER,PA-28-140,4.0,1.0,FIXD,2950.0,AIR,N,ANNL,3.0,3950.0,Y,UNK,,Y,PERS,N,LDJ ,1800.0,FWN ,N,N,1550.0,PLT,,No,N,,L,1,REC,LYCOMING,O-320-E2D,160.0,HP,CARB,FIXP,6
20140522X222071,091,NONE,CHANCE VOUGHT,F4U 4,1.0,,FIXD,12405.0,AIR,N,ANNL,,,Y,C91A,,Y,PERS,N,PDK ,2230.0,PDK ,N,N,4500.0,PLT,,Yes,N,,4,1,REC,Pratt & Whitney,R-2800-52W,2000.0,HP,CARB,FIXP,6
20140522X547231,091,NONE,BEECH,H35,4.0,1.0,RETR,2903.0,AIR,N,ANNL,7.0,4939.0,Y,C91A,,Y,PERS,Y,15AZ,1815.0,P20 ,N,N,2271.0,PLT,M,No,N,,3,1,REC,Continental Motors,IO-470,210.0,HP,FINJ,CONP,2
20140522X805171,091,NONE,PIPER,J3C - 65,2.0,1.0,FIXD,1220.0,AIR,N,ANNL,22.0,4304.89990234375,N,,,Y,PERS,N,HVC ,1829.0,HVC ,N,N,2985.0,PLT,,No,N,,L,1,REC,CONT MOTOR,A-75-8,75.0,HP,CARB,FIXP,5
20140522X902271,137,NONE,SCHWEIZER AIRCRAFT CORP,G 164B,1.0,1.0,FIXD,,AIR,N,100H,63.0,10556.0,N,,,Y,AAPL,N,CL23,2010.0,CL23,N,N,18300.0,PLT,M,Yes,N,,U,1,TP,Pratt and Whitney,PT6A-34,750.0,HP,FINJ,CONP,2
20140522X940531,091,NONE,JOHN V RAWSON JR,SPRINT II,2.0,1.0,FIXD,,AIR,Y,COND,8.0,8.0,N,,,Y,PERS,N,39N ,,39N ,N,N,1600.0,PLT,,No,N,,4,1,REC,Rotax,R582,64.0,HP,CARB,FIXP,6
20140523X042431,091,NONE,CESSNA,180A,4.0,1.0,FIXD,2650.0,AIR,N,ANNL,1.0,6306.0,Y,,,Y,PERS,N,MAN ,2015.0,MAN ,N,N,4060.0,PLT,,No,N,,3,1,REC,CONT MOTOR,O-470 SERIES,230.0,HP,CARB,CONP,6
20140524X636151,091,VFIF,CESSNA,182,4.0,1.0,FIXD,2960.0,AIR,N,100H,33.0,2861.60009765625,Y,C91A,,Y,PERS,Y,KAJO,1800.0,KPVT,N,N,3687.0,PLT,M,No,N,,U,1,REC,Teledyne Continental,O-470U(4),230.0,HP,CARB,CONP,7
20140524X215401,091,NONE,KENNETH A BERGER,SEAREY LSX,2.0,1.0,FIXD,1430.0,AIR,Y,COND,,,,,,Y,PERS,N,,,,N,N,861.0,PLT,M,No,Y,,3,1,REC,Rotax,914,,,CARB,,6
20140526X059031,091,NONE,BRANTLY,B 2B,,,FIXD,,HELI,N,,,,,,,Y,PERS,N,MTN ,,MTN ,N,N,475.0,PLT,,No,N,,U,1,REC,Lycoming,O-360-A1A,,,,,6
20140526X725101,091,NONE,MEYERS,OTW 160,2.0,1.0,FIXD,4101.0,AIR,N,100H,,1146.0,Y,,,Y,PERS,Y,KTSP,2015.0,KTSP,N,N,4300.0,PLT,,UNK,N,,4,1,REC,Kinner Co,Kinner R-56,160.0,HP,CARB,FIXP,6
20140527X110071,091,VFR,AEROSPATIALE,AS 365 N2 DAUPHIN,5.0,2.0,RETR,9370.0,HELI,N,AAIP,46.0,6782.0,Y,,,Y,POSI,N,9MI9,1415.0,,N,Y,2268.0,PLT,,Yes,N,,5,1,TS,Turbomeca,Arriel 1C2,738.0,HP,,,6
20140527X448401,091,NONE,FDR601 LLC,ZODIAC 601XL,2.0,1.0,FIXD,1320.0,AIR,Y,COND,,46.0,Y,,,Y,PERS,,KLWS,,KLWS,N,N,1355.0,PLT,,No,N,,4,1,REC,Lycoming,O-235-L2C,115.0,HP,CARB,FIXP,6
